"FW"	"DW"	"trial"
"P140xF136"	611.322348596811	170.48439	2010
"P140xF137"	723.492238437461	201.032791	2010
"P140xF138"	567.944354438411	154.215652	2010
"P140xF145"	667.233471341863	213.979507	2012
"P140xF151"	600.100049711682	175.906296	2012
"P140xF154"	661.258944558236	199.613495	2012
"P140xF157"	692.329077713179	191.533981	2012
"P140xF160"	689.411424215449	194.276917	2012
"P140xF161"	767.714439832988	198.250809	2012
"P140xF162"	752.506226294141	226.070847	2012
"P140xF169"	635.425797447908	212.143509	2012
"P150xF047"	447.881117754788	157.985031	2010
"P150xF055"	538.496467941912	166.704071	2010
"P150xF072"	523.324357305892	158.508804	2010
"P150xF090"	501.163197826178	156.211594	2010
"P150xF101"	420.110620678919	133.207138	2010
"P150xF103"	503.553808833814	154.528488	2010
"P150xF104"	534.490275289337	168.081802	2010
"P150xF117"	541.334323803071	166.098068	2010
"P150xF134"	406.076050870323	151.742065	2010
"P150xF136"	360.322263291	134.889297	2010
"P150xF137"	436.399727348526	166.924194	2010
"P150xF138"	525.09032739703	164.741592	2010
"P154xF055"	586.43559022079	205.243195	2010
"P154xF087"	534.341434804434	164.815125	2010
"P154xF090"	542.437844082714	169.627838	2010
"P154xF101"	429.925844909968	136.289719	2010
"P154xF103"	550.585270792684	169.831436	2010
"P154xF104"	591.503937530244	181.050491	2010
"P154xF117"	484.157763818397	149.969467	2010
"P154xF124"	493.939040500165	137.859177	2010
"P154xF134"	529.881640564491	170.696884	2010
"P154xF136"	484.160980943736	157.658096	2010
"P154xF137"	576.375859878713	172.311172	2010
"P154xF138"	536.533639558117	165.274963	2010
"P159xF055"	521.826447902857	185.045685	2010
"P159xF062"	452.744178824159	148.914017	2010
"P159xF072"	528.208081173943	185.990906	2010
"P159xF087"	485.274339047722	167.184418	2010
"P159xF090"	499.67565555923	181.205048	2010
"P159xF099"	596.055008546223	181.714615	2012
"P159xF103"	498.92930480948	162.712402	2010
"P159xF117"	573.934007245166	170.911804	2010
"P159xF124"	571.875382880607	200.657547	2010
"P159xF134"	477.191327197787	149.230072	2010
"P159xF136"	525.829751066456	179.814041	2010
"P159xF137"	495.218741361735	161.173691	2010
"P159xF138"	506.610995403113	172.179886	2010
"P159xF145"	561.347319595343	203.548019	2012
"P159xF151"	523.864720469953	188.997711	2012
"P159xF154"	586.584524917356	201.853714	2012
"P159xF157"	578.980079483531	213.890274	2012
"P159xF159"	591.680096224063	184.591476	2012
"P159xF161"	612.414249405054	184.90979	2012
"P159xF162"	568.645743158986	191.560669	2012
"P159xF169"	506.933215530419	164.526886	2012
"P165xF047"	509.818500471386	152.697189	2010
"P165xF055"	581.754020791154	152.946533	2010
"P165xF062"	490.780532391681	164.740158	2010
"P165xF072"	515.069061560595	146.231522	2010
"P165xF087"	477.926627500518	166.490768	2010
"P165xF090"	515.501579019325	147.501022	2010
"P165xF101"	507.345480486964	168.787186	2010
"P165xF103"	528.25562766088	146.224182	2010
"P165xF117"	569.657481670576	171.509583	2010
"P165xF124"	510.042227244981	184.322662	2010
"P165xF134"	519.897736276011	175.591125	2010
"P165xF136"	524.818314929182	156.422791	2010
"P165xF137"	572.234611680651	176.117249	2010
"P165xF138"	495.790594049515	152.734299	2010
"P167xF047"	737.279250101602	209.64566	2010
"P167xF062"	625.846832055663	196.007431	2010
"P167xF072"	680.073749804991	179.374329	2010
"P167xF087"	655.020973721538	189.766068	2010
